image_path,label
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_544.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_187.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_085 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_461.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_384.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_189.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (146).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_294.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_261.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_159.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_107.jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_100.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_238.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_330.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_519.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_481.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_209.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_260.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_286.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_045 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_050 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_0s10.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_399.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_101 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_150.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (23).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_430.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (91).jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (33).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_009 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_409.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_492.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_040.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_028.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_044.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_s006.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_462.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_718.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (39).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_600.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_107.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_110 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_666.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_086.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_583.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_679.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_172.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_124.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_011.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_387.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (50).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_135.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_629.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (41).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_103.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_099.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_169.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_220.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_432.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_632.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_339.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_019 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (70).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_206 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (40).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_045.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_186.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_154.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_243.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_111 (3).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_007 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_699.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_099 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_084 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_781.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_208 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_686.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_646.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_205.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_613.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_466.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_032.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_095.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (26).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_051 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Sap_013 (42).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_566.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_0233 (8).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_610.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_784.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_018 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_697.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_229 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_199.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_095 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_628.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_035.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_089.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_029.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_731.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (100).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_033.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_136.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_460.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_621.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_273.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_0233 (2).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_479.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_681.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_557.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_108.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_206.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_058.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_128.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_522.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_043 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_630.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_131.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (150).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_115.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_155.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_110.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_146 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_062.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_100 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_135 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_369.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_011 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_480.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_177.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_400.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_650.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_106 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_247.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_196 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_026.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_148.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_665.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (27).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_407.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_283.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_010 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_326.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (114).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_152.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_486.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_596.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_460.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_695.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (9).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_092.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_266.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_131 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_201.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_070.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_139 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_105 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (152).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_586.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_008 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_514.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_787.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_113.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_688.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_680.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (3).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (118).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_116.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_484.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_081.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_609.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_353.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_049.jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_095 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_076 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_050.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_154.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_505.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_441.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_273.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_100 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_374.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_494.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_034.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_091.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_171.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_532.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_545.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_081.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_019.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (26).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_161.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_117.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_014.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_013 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_009.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (73).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_111.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (110).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_759.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_209.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_325.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_611.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (58).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_344.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_00s7.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (51).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_114.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_013 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_094 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (126).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_059 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_117 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_013 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_139.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_618.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_692.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (7).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_299.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_064 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_069.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_033 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_817.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_114 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_180.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_229.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_708.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_106 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_524.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_078 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_612.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_395.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_016 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_160.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_108 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_617.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_235.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_073.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_111.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_362.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_428.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (89).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_005.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_783.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_649.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_450.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_261.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_073 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_051.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_0233 (22).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_069 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_159.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_110 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_731.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_060.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_043.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_751.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (74).jpg,malignant
